,Neighborhood code,Neighborhood name,Venue,Venue Latitude,Venue Longitude,Venue Category
0,101,PALACIO             ,la gastroteca de santiago,40.4166394850381,-3.710943995357369,Restaurant
1,101,PALACIO             ,La Esquina del Real,40.41735567714916,-3.710364295560296,French Restaurant
2,101,PALACIO             ,Gayane's Madrid,40.41696769228408,-3.7096318602561946,Caucasian Restaurant
3,101,PALACIO             ,Gyoza Go!,40.41617944092178,-3.7086119502782817,Dumpling Restaurant
4,101,PALACIO             ,jamones julian becerro,40.41786707725726,-3.708744238716305,Deli / Bodega
5,101,PALACIO             ,Lhardy,40.41543499531071,-3.708833665033407,Tapas Restaurant
6,101,PALACIO             ,Steakburger Arenal,40.417776,-3.708287,Burger Joint
7,101,PALACIO             ,Casa Jaguar,40.4190188,-3.7085157,Bistro
8,101,PALACIO             ,El Mollete,40.419912891328146,-3.710502973556587,Tapas Restaurant
9,101,PALACIO             ,Charlie Champagne,40.41393640099747,-3.712647348286377,Restaurant
10,101,PALACIO             ,Trattoria Malatesta,40.416788,-3.707182,Italian Restaurant
11,101,PALACIO             ,La Lonja del Mar,40.41859789204018,-3.711351817860091,Modern European Restaurant
12,101,PALACIO             ,Mi Ciudad I,40.41747812755078,-3.708624896659918,Mexican Restaurant
13,101,PALACIO             ,Entre Suspiro y Suspiro,40.418470468451915,-3.7091380678042456,Mexican Restaurant
14,101,PALACIO             ,Federal Café 2,40.41445972417601,-3.7087736699569414,Café
15,101,PALACIO             ,Amicis,40.41489919886228,-3.70929301721602,Tapas Restaurant
16,101,PALACIO             ,Mesón del Champiñón,40.414956249703074,-3.7082325358687616,Tapas Restaurant
17,101,PALACIO             ,Caripén Bistró,40.42061439651598,-3.7119170330687625,French Restaurant
18,101,PALACIO             ,El Senador,40.42076966674159,-3.7114585151950705,Spanish Restaurant
19,101,PALACIO             ,Gustos Madrid - Plaza Mayor,40.41502,-3.707985,Mediterranean Restaurant
20,101,PALACIO             ,La Bola,40.4199676686983,-3.7104016049951802,Spanish Restaurant
21,101,PALACIO             ,Mashita,40.42052285790903,-3.7095981172576415,Korean Restaurant
22,101,PALACIO             ,Taberna Rayuela,40.41317891156541,-3.7134962971934686,Tapas Restaurant
23,101,PALACIO             ,Musashi,40.41900048005936,-3.7076562433548195,Japanese Restaurant
24,101,PALACIO             ,El Buey,40.42072864835552,-3.7111366883840526,Restaurant
25,101,PALACIO             ,Asador de Aranda,40.419858642235255,-3.7075824775498614,Spanish Restaurant
26,101,PALACIO             ,Astór Gastrobar,40.41273,-3.709617,Spanish Restaurant
27,101,PALACIO             ,Metro Bistro,40.41455661526512,-3.706830885266474,Bistro
28,101,PALACIO             ,Ferpal,40.417045824676954,-3.7057418628089156,Restaurant
29,101,PALACIO             ,Casa Revuelta,40.4138315511733,-3.7080649861662147,Spanish Restaurant
30,101,PALACIO             ,Taberna La Concha,40.41328553264532,-3.7083632649818323,Tapas Restaurant
31,101,PALACIO             ,Viva Burger,40.41263019326825,-3.7116827479753303,Vegetarian / Vegan Restaurant
32,101,PALACIO             ,O'Curruncho,40.420926296415395,-3.710301146589301,Seafood Restaurant
33,101,PALACIO             ,La Perejila,40.41238644200305,-3.709265060780486,Spanish Restaurant
34,101,PALACIO             ,Casa Lucas,40.412314855210234,-3.7094367228292757,Tapas Restaurant
35,101,PALACIO             ,La Tagliatella,40.41973334799455,-3.706735265471105,Italian Restaurant
36,101,PALACIO             ,Bolero Meatballs,40.41902419444983,-3.707576062728783,Comfort Food Restaurant
37,101,PALACIO             ,CUBIERTOS DE GLORIA,40.413581417920476,-3.7075112908086507,Comfort Food Restaurant
38,101,PALACIO             ,Matritum,40.412177606420805,-3.709223228765578,Tapas Restaurant
39,101,PALACIO             ,Mad Café,40.41237079206074,-3.708825691824009,American Restaurant
40,101,PALACIO             ,GramaBar,40.41976873108436,-3.7071476250900037,Gastropub
41,101,PALACIO             ,Posada de la Villa,40.413085497,-3.708450842,Restaurant
42,101,PALACIO             ,Casa Lucio,40.412072753,-3.709700554,Spanish Restaurant
43,101,PALACIO             ,Mar&Ola,40.412110647922,-3.7106201645978993,Tapas Restaurant
44,101,PALACIO             ,Gauranga Trascendental Food,40.412891557155,-3.7134861946105957,Vegetarian / Vegan Restaurant
45,101,PALACIO             ,Zoco Comidero Bar,40.41328907548855,-3.7134631663750186,Gastropub
46,101,PALACIO             ,Casa Victor,40.412429001191434,-3.7091671270452693,Tapas Restaurant
47,101,PALACIO             ,Pez Tortilla,40.411781658448255,-3.7105174528339666,Tapas Restaurant
48,101,PALACIO             ,La Parrilla de Mario,40.41975255722894,-3.7061757370832975,Argentinian Restaurant
49,101,PALACIO             ,La Chusquery,40.412229741330215,-3.711640374277176,Tapas Restaurant
50,101,PALACIO             ,Taberna del Capitán Alatriste,40.41262258,-3.708385061,Spanish Restaurant
51,101,PALACIO             ,Taberna de Lucio,40.41229848790274,-3.7094832512315294,Tapas Restaurant
52,101,PALACIO             ,Cerveceria Loredo,40.421530997875,-3.71406122226014,Snack Place
53,101,PALACIO             ,Casa Curro Taberna,40.412426160447765,-3.709206768870448,Tapas Restaurant
54,101,PALACIO             ,La Chamana,40.419132,-3.7069318,Mexican Restaurant
55,101,PALACIO             ,Taberna Txakolina,40.41240423456137,-3.7092335872572075,Tapas Restaurant
56,101,PALACIO             ,Restaurante Rasputín,40.412101165205065,-3.7135574283690183,Restaurant
57,101,PALACIO             ,Taberna Tempranillo,40.411982539289724,-3.710063750704225,Spanish Restaurant
58,101,PALACIO             ,PinUp Beer's Burguer,40.4119581187938,-3.7101178559535106,Burger Joint
59,101,PALACIO             ,Cafe Bar Sol Mayor,40.41611557544635,-3.7054865870775564,Spanish Restaurant
60,101,PALACIO             ,Taberna Angosta,40.412032539078474,-3.7122952048668605,Spanish Restaurant
61,101,PALACIO             ,Taberna Almendro 13,40.41253841254097,-3.71004547721055,Spanish Restaurant
62,101,PALACIO             ,La Trastienda,40.41198284759262,-3.7146301644124278,Tapas Restaurant
63,101,PALACIO             ,Majareta,40.412453,-3.71016,Tapas Restaurant
64,101,PALACIO             ,Restaurante Emma y Julia,40.412548866196914,-3.7089612913940404,Gluten-free Restaurant
65,101,PALACIO             ,El Ventorrillo,40.413000344022095,-3.7138676599138702,Spanish Restaurant
66,101,PALACIO             ,Dehesa Santa María,40.41521986421654,-3.713437962658213,Tapas Restaurant
67,101,PALACIO             ,El Viajero,40.411631823720235,-3.7103431893270384,Tapas Restaurant
