,Neighborhood code,Neighborhood name,Venue,Venue Latitude,Venue Longitude,Venue Category
0,101,PALACIO             ,Taberna Rayuela,40.41317891156541,-3.7134962971934686,Tapas Restaurant
1,101,PALACIO             ,Charlie Champagne,40.41393640099747,-3.712647348286377,Restaurant
2,101,PALACIO             ,El Landó,40.411899822,-3.71507637,Spanish Restaurant
3,101,PALACIO             ,Pizzeria Mayor,40.412788599966305,-3.7174735135512917,Pizza Place
4,101,PALACIO             ,Gauranga Trascendental Food,40.412891557155,-3.7134861946105957,Vegetarian / Vegan Restaurant
5,101,PALACIO             ,la gastroteca de santiago,40.4166394850381,-3.710943995357369,Restaurant
6,101,PALACIO             ,Zoco Comidero Bar,40.41328907548855,-3.7134631663750186,Gastropub
7,101,PALACIO             ,Gastrobar Peruano Pisco 41,40.41597500129769,-3.711678127241401,Peruvian Restaurant
8,101,PALACIO             ,Café Bar Delic,40.41273870787581,-3.711678450125613,Café
9,101,PALACIO             ,Café de Oriente,40.41808083605312,-3.7118667284955524,Spanish Restaurant
10,101,PALACIO             ,Viva Burger,40.41263019326825,-3.7116827479753303,Vegetarian / Vegan Restaurant
11,101,PALACIO             ,Taquería del Alamillo,40.41369706295375,-3.712548781764304,Mexican Restaurant
12,101,PALACIO             ,La Tapería Mayor,40.41543798099699,-3.711252549354675,Paella Restaurant
13,101,PALACIO             ,camoati,40.413274618632805,-3.7122836094834195,Latin American Restaurant
14,101,PALACIO             ,Restaurante Taberneros,40.416457775789596,-3.7103856206505745,Spanish Restaurant
15,101,PALACIO             ,Restaurante Rasputín,40.412101165205065,-3.7135574283690183,Restaurant
16,101,PALACIO             ,La Taquería de Birra,40.41160529869899,-3.7135694765833738,Mexican Restaurant
17,101,PALACIO             ,Seoul,40.41105892100128,-3.7180896567617623,Korean Restaurant
18,101,PALACIO             ,Korgui Bar Gastronómico,40.41391286150423,-3.711304292030392,Gastropub
19,101,PALACIO             ,La Chusquery,40.412229741330215,-3.711640374277176,Tapas Restaurant
20,101,PALACIO             ,El Arrozal,40.41372638929047,-3.711085754650266,Spanish Restaurant
21,101,PALACIO             ,Restaurante Vegetariano,40.41651561873151,-3.710513364858087,Restaurant
22,101,PALACIO             ,la candela restò,40.41724312220272,-3.7108859056237615,Bistro
23,101,PALACIO             ,La Musa Latina,40.41283455101768,-3.7117671604527014,Tapas Restaurant
24,101,PALACIO             ,La Trastienda,40.41198284759262,-3.7146301644124278,Tapas Restaurant
25,101,PALACIO             ,Can Punyetes,40.4159551102007,-3.7106118785715703,Spanish Restaurant
26,101,PALACIO             ,Agra Palace,40.417630856492586,-3.71076370095803,Indian Restaurant
27,101,PALACIO             ,Taberna Angosta,40.412032539078474,-3.7122952048668605,Spanish Restaurant
28,101,PALACIO             ,El Ventorrillo,40.413000344022095,-3.7138676599138702,Spanish Restaurant
29,101,PALACIO             ,Dehesa Santa María,40.41521986421654,-3.713437962658213,Tapas Restaurant
30,101,PALACIO             ,La Panera de Arman,40.41323910784528,-3.719420430855074,BBQ Joint
31,101,PALACIO             ,By Cruz,40.41240797468785,-3.717639100715398,Spanish Restaurant
32,101,PALACIO             ,Sushicome,40.41136898463154,-3.7184115064841117,Japanese Restaurant
33,101,PALACIO             ,Bar La Ribera,40.41356548430897,-3.720835447311402,Breakfast Spot
34,101,PALACIO             ,Cafetería Palacio Real,40.41666546228339,-3.7137007713317867,Breakfast Spot
35,101,PALACIO             ,El Delantal,40.412155107845614,-3.7175571357130823,Spanish Restaurant
36,201,IMPERIAL            ,Seoul,40.41105892100128,-3.7180896567617623,Korean Restaurant
37,201,IMPERIAL            ,Arroceria Imperial,40.404255,-3.715239,Mediterranean Restaurant
38,201,IMPERIAL            ,Domino's Pizza,40.40558977984799,-3.716412178764935,Pizza Place
39,201,IMPERIAL            ,Montepinos,40.403596350870764,-3.7136552084797287,Spanish Restaurant
40,201,IMPERIAL            ,Campiello,40.40576956291889,-3.7120047190889807,Spanish Restaurant
41,201,IMPERIAL            ,Cerveceria Ruyma,40.404255611015216,-3.717923923929534,Tapas Restaurant
42,201,IMPERIAL            ,La Herradura,40.40857850865012,-3.717496643019891,Spanish Restaurant
43,201,IMPERIAL            ,Los Tronquitos,40.409952111488224,-3.7195663426169174,Spanish Restaurant
44,201,IMPERIAL            ,Colby Cafe,40.40713184312889,-3.716759168580845,Café
45,201,IMPERIAL            ,Zocodover,40.40621611209999,-3.7117334894800806,Café
46,201,IMPERIAL            ,La Casa De Zhou,40.40515740677846,-3.7163080930525005,Chinese Restaurant
47,201,IMPERIAL            ,La Parroquia,40.40800649145529,-3.717418351674843,Diner
48,201,IMPERIAL            ,Cafeteria Pontones,40.40527651338389,-3.714657619618259,Diner
49,201,IMPERIAL            ,Cafe & Té,40.406045,-3.711669,Diner
50,201,IMPERIAL            ,Bar Alvaro,40.40471076965332,-3.720519,Spanish Restaurant
51,201,IMPERIAL            ,Cafeteria Santa Casilda,40.404991,-3.713214,Spanish Restaurant
52,201,IMPERIAL            ,Rodilla,40.403493,-3.71441,Sandwich Place
53,201,IMPERIAL            ,Restaurante Puerta de Toledo · Urvi Cafetería,40.40625261262097,-3.711877213891118,Restaurant
54,201,IMPERIAL            ,La Esquina del Calderón,40.40508253168902,-3.7222929558851106,Spanish Restaurant
55,201,IMPERIAL            ,Quelujo.es,40.4049370910332,-3.7123282140762672,Gastropub
56,201,IMPERIAL            ,Restaurante Toledo 4,40.406236,-3.71175,Restaurant
57,201,IMPERIAL            ,volle-kanne,40.404899707921885,-3.7124705376749887,Spanish Restaurant
58,301,PACIFICO            ,El Rincón de Fogg,40.404065,-3.677902,Burger Joint
59,301,PACIFICO            ,Gangnam,40.40281988224854,-3.6717117544024824,Korean Restaurant
60,301,PACIFICO            ,Taberna Griega,40.4037412,-3.6779324,Greek Restaurant
61,301,PACIFICO            ,Panadería Pastelería Los Canasteros,40.405196136188856,-3.67427691753023,Bakery
62,301,PACIFICO            ,La Cevicucheria,40.40267859397597,-3.680336090781132,Peruvian Restaurant
63,301,PACIFICO            ,Churreria La Mejor,40.40027,-3.673496,Breakfast Spot
64,301,PACIFICO            ,Sidreria Astur II,40.405341122160486,-3.677504335030711,Spanish Restaurant
65,301,PACIFICO            ,Femary,40.399464508473265,-3.6714450484076506,Tapas Restaurant
66,301,PACIFICO            ,Domino's Pizza,40.40218756346087,-3.6782518527083377,Pizza Place
67,301,PACIFICO            ,Ruta Las Hurdes,40.40227989671096,-3.6738338512955258,Diner
68,301,PACIFICO            ,Candela Pinchos & Drinks,40.40252382311442,-3.679897897273802,Spanish Restaurant
69,301,PACIFICO            ,Los Gauchos,40.40219561090743,-3.6736735447928632,Sandwich Place
70,301,PACIFICO            ,Granier,40.4020116770184,-3.674385568988622,Bakery
71,301,PACIFICO            ,Monte Pinos,40.40265272582209,-3.6775457204640265,Café
72,301,PACIFICO            ,Estrella Central,40.40083721199781,-3.674107744963062,Asian Restaurant
73,301,PACIFICO            ,New Bombay Palace,40.40495998117542,-3.671540576680082,Indian Restaurant
74,301,PACIFICO            ,La Tasquita,40.40513107580944,-3.676929007792,Spanish Restaurant
75,301,PACIFICO            ,Telepizza,40.40251025957952,-3.6736666577403905,Pizza Place
76,301,PACIFICO            ,Rotonda de Pacífico,40.40143436080232,-3.6746288152848914,Spanish Restaurant
77,301,PACIFICO            ,Cafetería Luvi,40.40208123326794,-3.676275751811528,Diner
78,301,PACIFICO            ,El Valle Hermoso,40.401348248968226,-3.675092109347144,Café
79,301,PACIFICO            ,Casa Bustos,40.40200216032936,-3.670151073178109,Spanish Restaurant
80,301,PACIFICO            ,Bar El Doblao,40.4026941626309,-3.671533024773349,Café
81,301,PACIFICO            ,Horno San Miguel,40.404436,-3.675994,Bakery
82,301,PACIFICO            ,Tiracañas,40.3985552582364,-3.6724536146410456,Tapas Restaurant
83,301,PACIFICO            ,Vermont Bar,40.404077974708315,-3.6720068453649923,Spanish Restaurant
84,301,PACIFICO            ,Restaurante Vermont,40.40403,-3.671908,Spanish Restaurant
85,301,PACIFICO            ,Bar Los Pajaritos,40.40334011015691,-3.670907276378758,Café
86,301,PACIFICO            ,Barril Seco Taberna Gastronómica,40.397849,-3.672941,Café
87,301,PACIFICO            ,El callejon del gato,40.40534095289551,-3.674274966508401,Italian Restaurant
88,301,PACIFICO            ,Niasca,40.40477414758983,-3.6715562046050967,Spanish Restaurant
89,401,RECOLETOS           ,Amazónico,40.42383753262332,-3.6850245572738443,Restaurant
90,401,RECOLETOS           ,El Paraguas,40.42386542247894,-3.685813532393988,Spanish Restaurant
91,401,RECOLETOS           ,La Maquina Jorge Juan,40.42382256919969,-3.686157243920154,Spanish Restaurant
92,401,RECOLETOS           ,Ultramarinos Quintin,40.42388436145204,-3.6854034088389005,Restaurant
93,401,RECOLETOS           ,MORE,40.42388443976496,-3.6838091221418963,Restaurant
94,401,RECOLETOS           ,Numa,40.42332677352945,-3.6836398220709308,Italian Restaurant
95,401,RECOLETOS           ,Joselito´s,40.42487420019283,-3.683981895446777,Restaurant
96,401,RECOLETOS           ,Swagat Indian Restaurant,40.424512747185425,-3.683114294018983,Indian Restaurant
97,401,RECOLETOS           ,La Bien Aparecida,40.42392365126327,-3.6869895666812744,Restaurant
98,401,RECOLETOS           ,Lux,40.4238433190922,-3.684846637626769,Spanish Restaurant
99,401,RECOLETOS           ,La Giralda IV,40.423349301181304,-3.6867574466317414,Spanish Restaurant
100,401,RECOLETOS           ,Los Gallos,40.42360857591356,-3.6863058165113634,Spanish Restaurant
101,401,RECOLETOS           ,Casa Dani,40.427095859479174,-3.6857193669863895,Tapas Restaurant
102,401,RECOLETOS           ,Ornella,40.423326402024166,-3.6841107506227373,Italian Restaurant
103,401,RECOLETOS           ,Frinsa La Conservera,40.42559631434182,-3.6866078002259006,Deli / Bodega
104,401,RECOLETOS           ,Numa Pompilio,40.423323,-3.684077,Italian Restaurant
105,401,RECOLETOS           ,Goiko Grill,40.423163109748145,-3.682931882252744,Burger Joint
106,401,RECOLETOS           ,Kabuki Wellington,40.42189124807032,-3.6842165091037944,Japanese Restaurant
107,401,RECOLETOS           ,Canalla Bistro by Ricard Camarena,40.426057373983376,-3.688617396245811,Restaurant
108,401,RECOLETOS           ,El Rincón de Goya,40.42593566049613,-3.685287816748818,Spanish Restaurant
109,401,RECOLETOS           ,Goizeko Wellington,40.42219213682872,-3.6837230410738226,Spanish Restaurant
110,401,RECOLETOS           ,Babelia,40.42348,-3.68637,Spanish Restaurant
111,401,RECOLETOS           ,Taqueria La Lupita,40.422424416498465,-3.6856000528064166,Mexican Restaurant
112,401,RECOLETOS           ,Platea Madrid,40.426083288964996,-3.68866416486341,Tapas Restaurant
113,401,RECOLETOS           ,99 Sushi Bar,40.42659511541311,-3.6888195991425463,Japanese Restaurant
114,401,RECOLETOS           ,La Cocina De Maria Luisa,40.42351295845048,-3.681737967100161,Spanish Restaurant
115,401,RECOLETOS           ,"Restaurante Alameda Madrid, 10, Calle De Jorge Juan, 28001 Madrid, Spain",40.423805,-3.68658,Restaurant
116,401,RECOLETOS           ,Matteo Cucina Italiana,40.427054401800795,-3.685701435792598,Italian Restaurant
117,401,RECOLETOS           ,Shikku,40.421415021676204,-3.6857966321991724,Japanese Restaurant
118,401,RECOLETOS           ,La Maruca,40.42747655521919,-3.6839650810190783,Spanish Restaurant
119,401,RECOLETOS           ,Panaderia Santagloria,40.42234277673325,-3.6829893931599935,Bakery
120,401,RECOLETOS           ,Cafeteria La Llave de Oro (Hotel Wellington),40.422081824469196,-3.6843152433473327,Café
121,401,RECOLETOS           ,Álbora,40.42373539043929,-3.683227156957344,Spanish Restaurant
122,401,RECOLETOS           ,Bump Green,40.422094,-3.68457,Restaurant
123,401,RECOLETOS           ,StreetXO,40.427687702735966,-3.687255526702393,Restaurant
124,401,RECOLETOS           ,La Trainera,40.427213881,-3.685110459,Seafood Restaurant
125,401,RECOLETOS           ,el Velazquez 17,40.422901343543415,-3.6843706415770447,Restaurant
126,401,RECOLETOS           ,La Paloma,40.423737827,-3.682141436,Spanish Restaurant
127,401,RECOLETOS           ,El Pimiento Verde,40.4239723554088,-3.6816017891652106,Restaurant
128,401,RECOLETOS           ,Magasand Columela,40.421089,-3.687984,Café
129,401,RECOLETOS           ,Gourmet Experience,40.42777668625794,-3.687295697667445,Deli / Bodega
130,401,RECOLETOS           ,Casa Galleta,40.422946,-3.681696,Restaurant
131,401,RECOLETOS           ,"Café de París, L' Entrecot",40.4217888286696,-3.686746541664355,Restaurant
132,401,RECOLETOS           ,floren domezian,40.422924463866,-3.6817015767077663,Restaurant
133,401,RECOLETOS           ,Ten Con Ten,40.427880944967086,-3.6884764005263433,Mediterranean Restaurant
134,401,RECOLETOS           ,Okafú,40.42373014673907,-3.6836658076540942,Spanish Restaurant
135,401,RECOLETOS           ,La Mafia se sienta a la mesa,40.425704898432215,-3.688945279786655,Italian Restaurant
136,401,RECOLETOS           ,Alfredo's Barbacoa,40.42180844815296,-3.687350844335924,Burger Joint
137,401,RECOLETOS           ,Dingo,40.427247176993625,-3.6840717542142727,American Restaurant
138,401,RECOLETOS           ,Jurucha,40.42775970528889,-3.6857616768254275,Tapas Restaurant
139,401,RECOLETOS           ,Salón Cascabel,40.427699920608354,-3.6872659298342922,Mexican Restaurant
140,401,RECOLETOS           ,Doki Doki,40.42116858895287,-3.689797446212131,Japanese Restaurant
141,401,RECOLETOS           ,Flavia Restaurante & Bar,40.42247356448254,-3.689587219885726,Italian Restaurant
142,401,RECOLETOS           ,Adolfo Dominguez Lounge Cafe,40.421420464623246,-3.6886059830484292,Café
143,401,RECOLETOS           ,El Mercado de VelaZquez,40.4240706800429,-3.684116226150181,Restaurant
144,401,RECOLETOS           ,Ramón Freixa Madrid,40.428568022214826,-3.6865702514546532,Spanish Restaurant
145,401,RECOLETOS           ,Tepic,40.42791209134333,-3.687806554183616,Mexican Restaurant
146,401,RECOLETOS           ,Alfredo's Barbacoa,40.421410275,-3.685863629,American Restaurant
